mille quatre cent soixante-quatre	NUM
mille quatre cent soixante-deux	NUM
mille quatre cent soixante-trois	NUM
mille quatre cent soixante-cinq	NUM
mille quatre cent soixante-six	NUM
mille quatre cent soixante-sept	NUM
mille quatre cent soixante-huit	NUM
mille quatre cent soixante-neuf	NUM
mille quatre cent quatre-vingt	NUM
mille quatre cent quatre-vingt-un	NUM
mille quatre cent quatre-vingt-dix	NUM
mille quatre cent quatre-vingt-onze	NUM
mille quatre cent quatre-vingt-dix-sept	NUM
mille quatre cent quatre-vingt-dix-huit	NUM
mille quatre cent quatre-vingt-dix-neuf	NUM
mille quatre cent quatre-vingt-douze	NUM
mille quatre cent quatre-vingt-treize	NUM
mille quatre cent quatre-vingt-quatorze	NUM
mille quatre cent quatre-vingt-quinze	NUM
mille quatre cent quatre-vingt-seize	NUM
mille quatre cent quatre-vingt-quatre	NUM
mille quatre cent quatre-vingt-deux	NUM
mille quatre cent quatre-vingt-trois	NUM
mille quatre cent quatre-vingt-cinq	NUM
mille quatre cent quatre-vingt-six	NUM
mille quatre cent quatre-vingt-sept	NUM
mille quatre cent quatre-vingt-huit	NUM
mille quatre cent quatre-vingt-neuf	NUM
mille quatre cent dix	NUM
mille quatre cent onze	NUM
mille quatre cent dix-sept	NUM
mille quatre cent dix-huit	NUM
mille quatre cent dix-neuf	NUM
mille quatre cent douze	NUM
mille quatre cent treize	NUM
mille quatre cent quatorze	NUM
mille quatre cent quinze	NUM
mille quatre cent seize	NUM
mille quatre cent vingt	NUM
mille quatre cent vingt et un	NUM
mille quatre cent vingt-quatre	NUM
mille quatre cent vingt-deux	NUM
mille quatre cent vingt-trois	NUM
mille quatre cent vingt-cinq	NUM
mille quatre cent vingt-six	NUM
mille quatre cent vingt-sept	NUM
mille quatre cent vingt-huit	NUM
mille quatre cent vingt-neuf	NUM
mille quatre cent trente	NUM
mille quatre cent trente et un	NUM
mille quatre cent trente-quatre	NUM
mille quatre cent trente-deux	NUM
mille quatre cent trente-trois	NUM
mille quatre cent trente-cinq	NUM
mille quatre cent trente-six	NUM
mille quatre cent trente-sept	NUM
mille quatre cent trente-huit	NUM
