mille soixante et un	ADJ
mille soixante et onze	ADJ
mille soixante-dix	ADJ
mille soixante-dix-sept	ADJ
mille soixante-dix-huit	ADJ
mille soixante-dix-neuf	ADJ
mille soixante-douze	ADJ
mille soixante-treize	ADJ
mille soixante-quatorze	ADJ
mille soixante-quinze	ADJ
mille soixante-seize	ADJ
mille soixante-quatre	ADJ
mille soixante-deux	ADJ
mille soixante-trois	ADJ
mille soixante-cinq	ADJ
mille soixante-six	ADJ
mille soixante-sept	ADJ
mille soixante-huit	ADJ
mille soixante-neuf	ADJ
mille quatre-vingt	ADJ
mille quatre-vingt-un	ADJ
mille quatre-vingt-dix	ADJ
mille quatre-vingt-onze	ADJ
mille quatre-vingt-dix-sept	ADJ
mille quatre-vingt-dix-huit	ADJ
mille quatre-vingt-dix-neuf	ADJ
mille quatre-vingt-douze	ADJ
mille quatre-vingt-treize	ADJ
mille quatre-vingt-quatorze	ADJ
mille quatre-vingt-quinze	ADJ
mille quatre-vingt-seize	ADJ
mille quatre-vingt-quatre	ADJ
mille quatre-vingt-deux	ADJ
mille quatre-vingt-trois	ADJ
mille quatre-vingt-cinq	ADJ
mille quatre-vingt-six	ADJ
mille quatre-vingt-sept	ADJ
mille quatre-vingt-huit	ADJ
mille quatre-vingt-neuf	ADJ
mille dix	ADJ
mille onze	ADJ
mille cent un	ADJ
mille cent soixante	ADJ
mille cent soixante et un	ADJ
mille cent soixante et onze	ADJ
mille cent soixante-dix	ADJ
mille cent soixante-dix-sept	ADJ
mille cent soixante-dix-huit	ADJ
mille cent soixante-dix-neuf	ADJ
mille cent soixante-douze	ADJ
mille cent soixante-treize	ADJ
mille cent soixante-quatorze	ADJ
mille cent soixante-quinze	ADJ
mille cent soixante-seize	ADJ
mille cent soixante-quatre	ADJ
mille cent soixante-deux	ADJ
mille cent soixante-trois	ADJ
mille cent soixante-cinq	ADJ
mille cent soixante-six	ADJ
mille cent soixante-sept	ADJ
mille cent soixante-huit	ADJ
mille cent soixante-neuf	ADJ
mille cent quatre-vingt	ADJ
mille cent quatre-vingt-un	ADJ
mille cent quatre-vingt-dix	ADJ
mille cent quatre-vingt-onze	ADJ
mille cent quatre-vingt-dix-sept	ADJ
mille cent quatre-vingt-dix-huit	ADJ
mille cent quatre-vingt-dix-neuf	ADJ
mille cent quatre-vingt-douze	ADJ
mille cent quatre-vingt-treize	ADJ
mille cent quatre-vingt-quatorze	ADJ
mille cent quatre-vingt-quinze	ADJ
mille cent quatre-vingt-seize	ADJ
mille cent quatre-vingt-quatre	ADJ
mille cent quatre-vingt-deux	ADJ
mille cent quatre-vingt-trois	ADJ
mille cent quatre-vingt-cinq	ADJ
mille cent quatre-vingt-six	ADJ
mille cent quatre-vingt-sept	ADJ
mille cent quatre-vingt-huit	ADJ
mille cent quatre-vingt-neuf	ADJ
mille cent dix	ADJ
mille cent onze	ADJ
mille cent dix-sept	ADJ
mille cent dix-huit	ADJ
mille cent dix-neuf	ADJ
mille cent douze	ADJ
mille cent treize	ADJ
mille cent quatorze	ADJ
mille cent quinze	ADJ
mille cent seize	ADJ
mille cent vingt	ADJ
mille cent vingt et un	ADJ
mille cent vingt-quatre	ADJ
mille cent vingt-deux	ADJ
mille cent vingt-trois	ADJ
mille cent vingt-cinq	ADJ
mille cent vingt-six	ADJ
mille cent vingt-sept	ADJ
mille cent vingt-huit	ADJ
mille cent vingt-neuf	ADJ
mille cent trente	ADJ
mille cent trente et un	ADJ
mille cent trente-quatre	ADJ
mille cent trente-deux	ADJ
mille cent trente-trois	ADJ
mille cent trente-cinq	ADJ
mille cent trente-six	ADJ
mille cent trente-sept	ADJ
mille cent trente-huit	ADJ
mille cent trente-neuf	ADJ
mille cent quarante	ADJ
mille cent quarante et un	ADJ
mille cent quarante-quatre	ADJ
mille cent quarante-deux	ADJ
mille cent quarante-trois	ADJ
mille cent quarante-cinq	ADJ
mille cent quarante-six	ADJ
mille cent quarante-sept	ADJ
mille cent quarante-huit	ADJ
mille cent quarante-neuf	ADJ
mille cent cinquante	ADJ
mille cent cinquante et un	ADJ
mille cent cinquante-quatre	ADJ
mille cent cinquante-deux	ADJ
mille cent cinquante-trois	ADJ
mille cent cinquante-cinq	ADJ
mille cent cinquante-six	ADJ
mille cent cinquante-sept	ADJ
mille cent cinquante-huit	ADJ
mille cent cinquante-neuf	ADJ
mille cent septante	ADJ
mille cent septante et un	ADJ
mille cent septante-quatre	ADJ
mille cent septante-deux	ADJ
mille cent septante-trois	ADJ
mille cent septante-cinq	ADJ
mille cent septante-six	ADJ
mille cent septante-sept	ADJ
mille cent septante-huit	ADJ
mille cent septante-neuf	ADJ
mille cent octante	ADJ
mille cent octante et un	ADJ
mille cent octante-quatre	ADJ
mille cent octante-deux	ADJ
mille cent octante-trois	ADJ
mille cent octante-cinq	ADJ
mille cent octante-six	ADJ
mille cent octante-sept	ADJ
